x,y
0.139,0.043
0.115,0.02
0.091,0.002
0.074,-0.01
0.06,-0.016
0.049,-0.021
0.046,-0.027
0.046,-0.034
0.042,-0.039
0.04,-0.054
0.037,-0.077
0.028,-0.09
0.012,-0.084
-0.005,-0.071
-0.02,-0.064
-0.031,-0.062
-0.045,-0.066
-0.067,-0.072
-0.088,-0.073
-0.099,-0.063
-0.103,-0.046
-0.106,-0.027
-0.112,-0.01
-0.115,0.005
-0.107,0.016
-0.092,0.027
-0.089,0.042
-0.092,0.059
-0.089,0.075
-0.081,0.089
-0.069,0.097
-0.052,0.095
-0.035,0.092
-0.02,0.099
-0.007,0.11
0.007,0.114
0.023,0.111
0.041,0.107
0.055,0.101
0.066,0.097
0.078,0.1
0.094,0.108
0.11,0.114
0.117,0.109
0.108,0.089
0.083,0.064
0.067,0.047
0.079,0.046
0.108,0.048
0.126,0.037
0.126,0.014
0.12,-0.01
0.115,-0.028
0.113,-0.041
0.11,-0.054
0.102,-0.069
0.099,-0.096
0.095,-0.124
0.08,-0.135
0.059,-0.138
0.04,-0.145
0.024,-0.143
0.006,-0.122
-0.011,-0.095
-0.021,-0.068
-0.022,-0.041
-0.025,-0.028
-0.037,-0.029
-0.053,-0.033
-0.069,-0.03
-0.08,-0.021
-0.075,-0.009
-0.067,0.002
-0.067,0.013
-0.069,0.023
-0.069,0.034
-0.065,0.042
-0.061,0.05
-0.056,0.057
-0.045,0.061
-0.031,0.068
-0.019,0.083
-0.01,0.095
-0.001,0.091
0.008,0.084
0.02,0.085
0.032,0.088
0.045,0.087
0.066,0.09
0.092,0.094
0.106,0.088
0.099,0.065
0.094,0.043
0.107,0.032
0.13,0.026
0.138,0.018
0.129,0.006
0.117,-0.007
0.105,-0.018
0.095,-0.025
0.092,-0.032
0.099,-0.044
0.105,-0.058
0.094,-0.064
0.071,-0.062
0.053,-0.064
0.042,-0.071
0.033,-0.081
0.021,-0.091
0.003,-0.101
-0.015,-0.102
-0.027,-0.091
-0.038,-0.079
-0.049,-0.07
-0.054,-0.058
-0.061,-0.044
-0.079,-0.033
-0.1,-0.024
-0.1,-0.01
-0.082,0.009
-0.065,0.028
-0.056,0.045
-0.051,0.056
-0.045,0.069
-0.039,0.091
-0.032,0.117
-0.021,0.127
-0.006,0.109
0.008,0.08
0.02,0.069
0.032,0.076
0.047,0.089
0.063,0.097
0.079,0.096
0.092,0.091
0.09,0.076
0.079,0.056
0.071,0.043
0.074,0.039
0.083,0.038
0.088,0.033
0.083,0.022
0.082,0.009
0.084,-0.003
0.082,-0.012
0.068,-0.019
0.049,-0.022
0.033,-0.024
0.027,-0.028
0.028,-0.036
0.03,-0.047
0.028,-0.059
0.023,-0.074
0.017,-0.085
0.008,-0.085
-0.002,-0.071
-0.01,-0.055
-0.015,-0.049
-0.021,-0.056
-0.027,-0.065
-0.034,-0.067
-0.039,-0.06
-0.046,-0.054
-0.055,-0.05
-0.057,-0.04
-0.052,-0.027
-0.042,-0.016
-0.029,-0.009
-0.023,-0.006
-0.029,-0.004
-0.039,-0.0
-0.043,0.008
-0.042,0.02
-0.037,0.032
-0.031,0.038
-0.023,0.038
-0.015,0.039
-0.008,0.041
-0.001,0.045
0.005,0.046
0.01,0.042
0.015,0.039
0.018,0.034
0.021,0.033
0.031,0.038
0.041,0.046
0.041,0.046
0.029,0.038
0.012,0.026
0.002,0.014
0.002,0.006
0.006,0.003
0.007,0.006
0.008,0.012
0.01,0.019
0.017,0.027
0.029,0.041
0.031,0.057
0.008,0.058
-0.023,0.031
